LULC_desc,esacci_lucode,native_veg,LULC_veg,usle_c,sed_exp,sed_ret,sedret_eff,p_exp,p_ret,load_p,eff_p,root_depth,Kc,rough_rank,cover_rank,usle_p,load_n,eff_n,Kc,etk,crit_len_p,crit_len_n,load_subsurface_n,load_subsurface_p,proportion_subsurface_n,C_above,C_below,C_soil,C_dead
crop_rainfed,10,,,0.412,0.412,0.84,0.84,0.5874,0.477,3.5717,0.477,1000,1.1,0.09,0.39,1,11,0.25,0.65,0,150,150,1.1,0.3,0.3,3,2,8,1
crop_rainfed_herb,11,,,0.412,0.412,0.84,0.84,0.5874,0.477,3.5717,0.477,1000,1.1,0.09,0.39,1,11,0.25,0.65,0,150,150,1.1,0.3,0.3,3,2,8,1
crop_rainfed_tree,12,,,0.412,0.412,0.84,0.84,0.5874,0.477,3.5717,0.477,1000,1.1,0.09,0.39,1,11,0.25,0.65,0,150,150,1.1,0.3,0.3,3,2,8,1
crop_irrigated,20,,,0.412,0.412,0.84,0.84,0.5874,0.477,3.5717,0.477,1000,1.1,0.09,0.39,1,11,0.25,0.65,0,150,150,1.1,0.3,0.3,3,2,8,1
crop_natural_mosaic,30,,,0.186,0.186,0.771666667,0.771666667,0.405766667,0.595,2.467266667,0.595,2666.666667,1.038666667,0.43,0.696666667,1,5.3,0.25,0.7,0,150,150,0.53,0.15,0.3,40,10,50,20
natural_crop_mosaic,40,,,0.186,0.186,0.771666667,0.771666667,0.405766667,0.595,2.467266667,0.595,2666.666667,1.038666667,0.43,0.696666667,1,5.3,0.25,0.7,0,150,150,0.53,0.15,0.3,40,10,50,20
tree_broadleaved_evergreen,50,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.92,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,215,135,122,60
tree_broadleaved_deciduous_closed_to_open_15,60,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,180,120,120,55
tree_broadleaved_deciduous_closed_40,61,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,180,120,120,55
tree_broadleaved_deciduous_open_15_40,62,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,180,120,120,55
tree_needleleaved_evergreen_closed_to_open_15,70,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.92,1,1.8,0.75,1,0,150,150,0.18,0.0011,0,225,150,124,65
tree_needleleaved_evergreen_closed_to_open_15_extended,71,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.92,1,1.8,0.75,1,0,150,150,0.18,0.0011,0,225,150,124,65
tree_needleleaved_evergreen_open_15_40,72,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.92,1,1.8,0.75,1,0,150,150,0.18,0.0011,0,225,150,124,65
tree_needleleaved_deciduous_closed_to_open_15,80,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,175,110,118,52
tree_needleleaved_deciduous_closed_40,81,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,175,110,118,52
tree_needleleaved_deciduous_open_15_40,82,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,175,110,118,52
tree_mixed_type,90,,,0.025,0.025,0.7375,0.7375,0.2242,0.672,1.3631,0.672,3500,1.008,0.6,0.91,1,1.8,0.8,1,0,150,150,0.18,0.0011,0,80,50,100,25
